date,account,entry_type,region,value
2026-05-12,Thombay,pokemon,johto,100.0
2026-05-12,Thombay,pokemon,hoenn,135.0
2026-05-12,Thombay,pokemon,sinnoh,104.0
2026-05-12,Thombay,pokemon,unova,156.0
2026-05-12,Thombay,pokemon,kalos,72.0
2026-05-12,Thombay,pokemon,alola,69.0
2026-05-12,Thombay,pokemon,galar,68.0
2026-05-12,Thombay,pokemon,hisui,6.0
2026-05-12,Thombay,pokemon,paldea,64.0
2026-05-19,Thombay,pokemon,kanto,151.0
2026-05-19,Thombay,pokemon,johto,100.0
2026-05-19,Thombay,pokemon,hoenn,135.0
2026-05-19,Thombay,pokemon,sinnoh,104.0
2026-05-19,Thombay,pokemon,unova,156.0
2026-05-19,Thombay,pokemon,kalos,72.0
2026-05-19,Thombay,pokemon,alola,71.0
2026-05-19,Thombay,pokemon,galar,68.0
2026-05-19,Thombay,pokemon,hisui,6.0
2026-05-19,Thombay,pokemon,paldea,69.0
2026-05-19,Thombay,pokemon,unidentified,2.0
2026-05-19,Thombay,shiny,kanto,86.0
2026-05-19,Thombay,shiny,johto,53.0
2026-05-19,Thombay,shiny,hoenn,69.0
2026-05-19,Thombay,shiny,sinnoh,52.0
2026-05-19,Thombay,shiny,unova,50.0
2026-05-19,Thombay,shiny,kalos,31.0
2026-05-19,Thombay,shiny,alola,8.0
2026-05-19,Thombay,shiny,galar,14.0
2026-05-19,Thombay,shiny,hisui,0.0
2026-05-19,Thombay,shiny,paldea,22.0
2026-05-19,Thombay,shiny,unidentified,2.0
2026-05-19,Thombay,lucky,kanto,53.0
2026-05-19,Thombay,lucky,johto,13.0
2026-05-19,Thombay,lucky,hoenn,18.0
2026-05-19,Thombay,lucky,sinnoh,15.0
2026-05-19,Thombay,lucky,unova,25.0
2026-05-19,Thombay,lucky,kalos,9.0
2026-05-19,Thombay,lucky,alola,8.0
2026-05-19,Thombay,lucky,galar,13.0
2026-05-19,Thombay,lucky,paldea,10.0
2026-05-19,Thombay,xxl,kanto,43.0
2026-05-19,Thombay,xxl,johto,17.0
2026-05-19,Thombay,xxl,hoenn,28.0
2026-05-19,Thombay,xxl,sinnoh,18.0
2026-05-19,Thombay,xxl,unova,23.0
2026-05-19,Thombay,xxl,kalos,16.0
2026-05-19,Thombay,xxl,alola,11.0
2026-05-19,Thombay,xxl,galar,9.0
2026-05-19,Thombay,xxl,paldea,8.0
2026-05-19,Thombay,xxl,unidentified,1.0
2026-05-19,Thombay,xxs,kanto,105.0
2026-05-19,Thombay,xxs,johto,39.0
2026-05-19,Thombay,xxs,hoenn,54.0
2026-05-19,Thombay,xxs,sinnoh,38.0
2026-05-19,Thombay,xxs,unova,39.0
2026-05-19,Thombay,xxs,kalos,15.0
2026-05-19,Thombay,xxs,alola,4.0
2026-05-19,Thombay,xxs,galar,11.0
2026-05-19,Thombay,xxs,paldea,8.0
2026-05-19,Thombay,xxs,unidentified,1.0
2026-05-19,Thombay,mega,kanto,15.0
2026-05-19,Thombay,mega,johto,6.0
2026-05-19,Thombay,mega,hoenn,22.0
2026-05-19,Thombay,mega,sinnoh,5.0
2026-05-19,Thombay,mega,unova,0.0
2026-05-19,Thombay,mega,kalos,2.0
2026-05-19,Thombay,shadow,kanto,93.0
2026-05-19,Thombay,shadow,johto,39.0
2026-05-19,Thombay,shadow,hoenn,57.0
2026-05-19,Thombay,shadow,sinnoh,30.0
2026-05-19,Thombay,shadow,unova,39.0
2026-05-19,Thombay,shadow,kalos,19.0
2026-05-19,Thombay,shadow,alola,8.0
2026-05-19,Thombay,shadow,galar,0.0
2026-05-19,Thombay,shadow,hisui,0.0
2026-05-19,Thombay,shadow,paldea,0.0
2026-05-19,Thombay,shadow,unidentified,0.0
2026-05-19,Thombay,purified,kanto,81.0
2026-05-19,Thombay,purified,johto,35.0
2026-05-19,Thombay,purified,hoenn,38.0
2026-05-19,Thombay,purified,sinnoh,18.0
2026-05-19,Thombay,purified,unova,25.0
2026-05-19,Thombay,purified,kalos,17.0
2026-05-19,Thombay,purified,alola,5.0
2026-05-19,Thombay,purified,galar,0.0
2026-05-19,Thombay,purified,hisui,0.0
2026-05-19,Thombay,purified,paldea,0.0
2026-05-19,Thombay,purified,unidentified,0.0
2026-05-19,Thombay,hundo,kanto,19.0
2026-05-19,Thombay,hundo,johto,7.0
2026-05-19,Thombay,hundo,hoenn,11.0
2026-05-19,Thombay,hundo,sinnoh,9.0
2026-05-19,Thombay,hundo,unova,4.0
2026-05-19,Thombay,hundo,kalos,10.0
2026-05-19,Thombay,hundo,alola,2.0
2026-05-19,Thombay,hundo,galar,6.0
2026-05-19,Thombay,hundo,hisui,0.0
2026-05-19,Thombay,hundo,paldea,2.0
2026-05-19,Thombay,hundo,unidentified,0.0
2026-06-11,Thombay,shiny,kanto,92.0
2026-06-11,Thombay,shiny,johto,53.0
2026-06-11,Thombay,shiny,hoenn,70.0
2026-06-11,Thombay,shiny,sinnoh,52.0
2026-06-11,Thombay,shiny,unova,52.0
2026-06-11,Thombay,shiny,kalos,33.0
2026-06-11,Thombay,shiny,alola,12.0
2026-06-11,Thombay,shiny,galar,16.0
2026-06-11,Thombay,shiny,hisui,1.0
2026-06-11,Thombay,shiny,paldea,25.0
